Title,Year,Worldwide_Box_Office,WBO_Adjusted_for_Inflation
Star Wars: Episode IV - A New Hope,1977,307263857.0,5928475688.44
Smokey and the Bandit,1977,126747995.0,2445528134.2
Close Encounters of the Third Kind,1977,116395460.0,2245782050.62
Saturday Night Fever,1977,94213184.0,1817788061.14
A Bridge Too Far,1977,50750000.0,979191448.44
The Deep,1977,47346365.0,913520309.81
The Spy Who Loved Me,1977,46839295.0,903736691.92
"Oh, God!",1977,41687243.0,804330873.98
Annie Hall,1977,38252415.0,738057884.73
Semi-Tough,1977,37187139.0,717504009.87
Pete's Dragon,1977,35488000.0,684720120.63
Heroes,1977,33500000.0,646362828.03
High Anxiety,1977,31063038.0,599343077.28
Exorcist II: The Heretic,1977,30749142.0,593286638.29
The Rescuers,1977,29000000.0,559537970.54
Slap Shot,1977,28000000.0,540243557.76
Herbie Goes to Monte Carlo,1977,28000000.0,540243557.76
The Gauntlet,1977,26414658.0,509655314.82
The Turning Point,1977,25933445.0,500370592.56
Freaky Friday,1977,25642000.0,494747332.43
The Other Side of Midnight,1977,24652021.0,475646268.96
Looking for Mr. Goodbar,1977,22512655.0,434368458.28
Julia,1977,20714400.0,399672184.03
The Bad News Bears in Breaking Training,1977,19104350.0,368607214.74
For the Love of Benji,1977,17732000.0,342128527.36
"New York, New York",1977,16400658.0,316441065.27
Black Sunday,1977,15769322.0,304259807.88
Orca,1977,14717854.0,283972350.27
Bobby Deerfield,1977,9300000.0,179438038.83
Islands in the Stream,1977,5596173.0,107974871.83
"Race for Your Life, Charlie Brown",1977,3223888.0,62203025.82
March or Die,1977,1000000.0,19294412.78
Joseph Andrews,1977,839865.0,16204701.99
Citizens Band,1977,815530.0,15735172.45
Fraternity Row,1977,290674.0,5608384.14
Sorcerer,1977,651.0,12560.66
1900,1977,360.0,6945.99
Grease,1978,159983156.0,4709859073.89
Superman,1978,134218018.0,3951340664.62
National Lampoon's Animal House,1978,120098342.0,3535661378.18
Every Which Way But Loose,1978,85196485.0,2508160533.73
Heaven Can Wait,1978,81640278.0,2403466800.8
Hooper,1978,78000000.0,2296298041.3
Jaws 2,1978,77737272.0,2288563402.94
Revenge of the Pink Panther,1978,49579269.0,1459599721.71
The Deer Hunter,1978,48994473.0,1442383492.11
Halloween,1978,47000000.0,1383666768.47
Foul Play,1978,44999621.0,1324776173.87
The End,1978,44917151.0,1322348280.28
Up in Smoke,1978,44364244.0,1306070853.86
Midnight Express,1978,35000000.0,1030390146.74
Coming Home,1978,32653905.0,961321770.41
The Lord of the Rings,1978,30474857.0,897171210.74
House Calls,1978,28460702.0,837875054.57
Damien: Omen II,1978,26518355.0,780692905.7
Invasion of the Body Snatchers,1978,24946800.0,734426768.93
Convoy,1978,22765081.0,670197575.77
The Wiz,1978,21049053.0,619678194.55
F.I.S.T.,1978,20388920.0,600244064.87
Sgt. Pepper's Lonely Hearts Club Band,1978,20378470.0,599936419.82
Eyes of Laura Mars,1978,20000000.0,588794369.56
The One and Only,1978,16928137.0,498359587.64
Return from Witch Mountain,1978,16393000.0,482605305.01
Corvette Summer,1978,15514367.0,456738596.85
The Greek Tycoon,1978,14672713.0,431960540.03
Death on the Nile,1978,14560084.0,428644773.98
The Buddy Holly Story,1978,14363400.0,422854452.39
The Big Fix,1978,13062708.0,384562446.08
The Other Side of the Mountain: Part II,1978,11565678.0,340490304.33
Moment by Moment,1978,10963824.0,322771892.0
Interiors,1978,10432366.0,307125918.1
Straight Time,1978,9900000.0,291453212.93
Comes a Horseman,1978,9585769.0,282202340.76
American Hot Wax,1978,7932571.0,233532657.05
The Brink's Job,1978,7909950.0,232866701.18
Goin' South,1978,7435671.0,218904060.94
King of the Gypsies,1978,7325177.0,215651148.68
Force 10 from Navarone,1978,7230000.0,212849164.6
Paradise Alley,1978,7185518.0,211539627.04
The Bad News Bears Go to Japan,1978,7092495.0,208801056.11
International Velvet,1978,7009238.0,206349993.47
Blue Collar,1978,6521083.0,191978847.69
Pretty Baby,1978,5786368.0,170349044.93
Gray Lady Down,1978,5438927.0,160120479.7
Brass Target,1978,5011158.0,147527080.77
Caravans,1978,3930501.0,115712842.92
Days of Heaven,1978,3446749.0,101471320.22
Our Winning Season,1978,1997705.0,58811872.8
I Wanna Hold Your Hand,1978,1944682.0,57250890.61
Skateboard,1978,1318823.0,38825777.84
Uncle Joe Shannon,1978,494797.0,14566684.38
Nunzio,1978,52195.0,1536606.11
The Last Waltz,1978,7940.0,233751.36
Kramer vs. Kramer,1979,106260000.0,12878660536.59
The Amityville Horror,1979,86432000.0,10475516539.61
Rocky II,1979,85182160.0,10324036536.93
Star Trek: The Motion Picture,1979,82258612.0,9969703935.25
Apocalypse Now,1979,78962050.0,9570162217.43
Alien,1979,78955598.0,9569380238.15
10,1979,74865517.0,9073664401.84
The Jerk,1979,73691419.0,8931364292.88
Moonraker,1979,70308213.0,8521321364.22
The Muppet Movie,1979,65200382.0,7902254720.82
The Electric Horseman,1979,61801971.0,7490368953.52
The China Syndrome,1979,51718367.0,6268241032.37
Meatballs,1979,43046003.0,5217154715.74
Escape from Alcatraz,1979,43000000.0,5211579174.42
The Main Event,1979,42800000.0,5187339271.28
Manhattan,1979,39946780.0,4841530389.14
All That Jazz,1979,37823777.0,4584223453.74
The Black Stallion,1979,37799643.0,4581298424.63
The Black Hole,1979,35841901.0,4344021042.4
Starting Over,1979,35649012.0,4320642989.02
And Justice for All,1979,33300000.0,4035943872.28
1941,1979,31755742.0,3848780550.59
The Champ,1979,30441738.0,3689523902.18
Being There,1979,30177663.0,3657518140.08
The Rose,1979,29174648.0,3535953207.85
Going in Style,1979,26869286.0,3256544449.98
North Dallas Forty,1979,26079312.0,3160799983.78
The Warriors,1979,22494655.0,2726341291.48
Norma Rae,1979,22228000.0,2694022834.63
Buck Rogers in the 25th Century,1979,21671241.0,2626543913.47
National Lampoon's Animal House 1979 Re-release,1979,21508877.0,2606865475.31
The Apple Dumpling Gang Rides Again,1979,20931111.0,2536840515.93
La Cage aux Folles,1979,20424259.0,2475410299.01
Dracula,1979,20158970.0,2443257400.69
