tconst,budget,box_office
tt0111161,25000000.0,28906619.0
tt0468569,185000000.0,1008486720.0
tt1375666,160000000.0,839030630.0
tt0137523,63000000.0,101320107.0
tt0109830,55000000.0,678226465.0
tt0110912,8000000.0,213928762.0
tt0816692,165000000.0,733202212.0
tt0133093,63000000.0,467623299.0
tt0068646,6000000.0,250342030.0
tt0120737,93000000.0,884041698.0
tt0167260,94000000.0,1156598523.0
tt1345836,250000000.0,1085289416.0
tt0114369,33000000.0,327333559.0
tt0167261,94000000.0,948945489.0
tt1853728,100000000.0,426076293.0
tt0172495,103000000.0,465387186.0
tt0361748,70000000.0,321458605.0
tt0993846,100000000.0,407039432.0
tt0372784,150000000.0,375325692.0
tt0102926,19000000.0,272742922.0
tt0120815,70000000.0,482351251.0
tt7286456,55000000.0,1078958629.0
tt0848228,220000000.0,1520538536.0
tt1130884,80000000.0,294850027.0
tt0076759,11000000.0,775398507.0
tt0108052,22000000.0,322161245.0
tt0482571,40000000.0,109676311.0
tt0407887,90000000.0,291481358.0
tt0120689,60000000.0,286801374.0
tt0499549,237000000.0,2923706026.0
tt0080684,18000000.0,538375067.0
tt0071562,13000000.0,47962897.0
tt0209144,9000000.0,40047236.0
tt0088763,19000000.0,384577472.0
tt0120338,200000000.0,2264750694.0
tt2015381,170000000.0,773350376.0
tt4154796,356000000.0,2799439100.0
tt0099685,25000000.0,47049784.0
tt0110413,115000000.0,19570198.0
tt0169547,15000000.0,356296601.0
tt0325980,140000000.0,654264546.0
tt4154756,321000000.0,2052415039.0
tt0910970,180000000.0,521320168.0
tt0120382,60000000.0,264118712.0
tt0266697,30000000.0,180908413.0
tt0120586,20000000.0,23875714.0
tt0434409,54000000.0,134686457.0
tt0103064,102000000.0,520881154.0
tt0114814,6000000.0,23341568.0
tt0110357,45000000.0,968750694.0
tt1431045,58000000.0,782837347.0
tt0371746,140000000.0,585796247.0
tt1049413,175000000.0,735102136.0
tt0086190,32500000.0,475106177.0
tt0266543,94000000.0,941637960.0
tt0081505,19000000.0,47380008.0
tt0264464,52000000.0,352114312.0
tt0112573,72000000.0,213216216.0
tt0105236,1200000.0,2930208.0
tt1392190,150000000.0,380418444.0
tt0338013,20000000.0,73390334.0
tt0073486,3000000.0,109114987.0
tt0114709,30000000.0,394436586.0
tt2267998,61000000.0,369330536.0
tt0119217,10000000.0,225933435.0
tt0107290,63000000.0,1114456337.0
tt0477348,25000000.0,171632777.0
tt0167404,40000000.0,672806432.0
tt0082971,18000000.0,389925971.0
tt1392170,78000000.0,695220619.0
tt0268978,58000000.0,316791257.0
tt2582802,3300000.0,49449489.0
tt0198781,115000000.0,579723768.0
tt2488496,245000000.0,2071310218.0
tt6751668,11400000.0,262099264.0
tt0078748,11000000.0,106285522.0
tt1201607,125000000.0,1356962211.0
tt0095016,28000000.0,143651650.0
tt1675434,9500000.0,426590315.0
tt3659388,108000000.0,630620818.0
tt0088247,6400000.0,78371200.0
tt2395427,250000000.0,1405018048.0
tt0075314,1300000.0,28579636.0
tt0086250,50000000.0,66443303.0
tt0253474,35000000.0,120098945.0
tt0208092,6000000.0,83557872.0
tt0800369,150000000.0,449326618.0
tt1300854,200000000.0,1215577205.0
tt1843866,170000000.0,714421503.0
tt0180093,4500000.0,7390108.0
tt0458339,140000000.0,370569774.0
tt0435761,200000000.0,1067316101.0
tt2278388,25000000.0,174567384.0
tt0066921,2200000.0,27023100.0
tt0145487,139000000.0,825025036.0
tt1010048,15000000.0,378411362.0
tt10872600,200000000.0,1921847111.0
tt1663202,135000000.0,532950503.0
tt0903624,180000000.0,1017106749.0
tt1228705,200000000.0,623933331.0
tt0416449,65000000.0,456082343.0
tt1454468,100000000.0,773031617.0
tt0050083,350000.0,2667.0
tt0118715,15000000.0,48066229.0
tt0120915,115000000.0,1027083462.0
tt0241527,125000000.0,1024465951.0
tt0246578,6000000.0,7088397.0
tt3498820,250000000.0,1155046416.0
tt7131622,90000000.0,377617681.0
tt1119646,35000000.0,469328922.0
tt0121766,113000000.0,868390560.0
tt1160419,165000000.0,407573628.0
tt1825683,200000000.0,1349926083.0
tt3315342,97000000.0,619180476.0
tt2084970,14000000.0,233555708.0
tt0947798,13000000.0,329398046.0
tt0382932,150000000.0,623728318.0
tt0083658,28000000.0,41754158.0
tt3501632,180000000.0,855301806.0
tt1205489,33000000.0,269958228.0
tt0480249,150000000.0,585410052.0
tt0770828,225000000.0,670145518.0
tt0097576,48000000.0,474171806.0
tt0060196,1200000.0,25259657.0
tt1392214,46000000.0,122127446.0
tt0317705,92000000.0,631686750.0
tt0378194,30000000.0,154118514.0
tt1211837,165000000.0,677796833.0
tt0317248,3300000.0,30680793.0
tt0211915,10000000.0,174919889.0
tt0401792,40000000.0,158733820.0
tt0093058,30000000.0,46361894.0
tt1877830,185000000.0,772245583.0
tt2096673,175000000.0,858852998.0
tt8946378,40000000.0,312897920.0
tt2543164,47000000.0,203389228.0
tt0383574,225000000.0,1066179747.0
tt0090605,18500000.0,131060248.0
tt3896198,200000000.0,863756903.0
tt0121765,115000000.0,653780724.0
tt1285016,40000000.0,224927749.0
tt2975590,250000000.0,874362803.0
tt1877832,200000000.0,746045700.0
tt1045658,21000000.0,236412453.0
tt0118799,20000000.0,230099013.0
tt2024544,20000000.0,187734091.0
tt5013056,100000000.0,530432122.0
