tconst,location,latitude,longitude,titleType,primaryTitle
tt0203019,"Cathlamet, Washington, USA",46.2031656,-123.3831834,movie,Men of Honor
tt0203019,"Longview, Washington, USA",46.1381676,-122.9381672,movie,Men of Honor
tt0203019,"Diblee Point, Rainier, Oregon, USA",46.1184451,-123.0048351,movie,Men of Honor
tt0203019,"North Plains, Oregon, USA",45.59778499999999,-123.0008365,movie,Men of Honor
tt0203019,"Portland, Oregon, USA",45.515232,-122.6783853,movie,Men of Honor
tt0203019,"Rainier, Oregon, USA",46.0891348,-122.9359776,movie,Men of Honor
tt0203019,"Long Beach, California, USA",33.7700504,-118.1937395,movie,Men of Honor
tt0203019,"Washington, USA",47.7510741,-120.7401386,movie,Men of Honor
tt0203019,"Oregon, USA",43.8041334,-120.5542012,movie,Men of Honor
tt0203019,"California, USA",36.778261,-119.4179324,movie,Men of Honor
tt0203019,USA,37.09024,-95.712891,movie,Men of Honor
tt1233227,"Toronto, Ontario, Canada",43.653226,-79.3831843,movie,Saw VI
tt1837642,"6249 Pebble Shore Ln, Southport, North Carolina, USA",33.9272643,-77.99844379999999,tvSeries,Revenge
tt1837642,"Southport, North Carolina, USA",33.9182092,-78.01930109999999,tvSeries,Revenge
tt1837642,"Raleigh Manhattan Beach Studios - 1600 Rosecrans Avenue, Manhattan Beach, California, USA",35.7795897,-78.6381787,tvSeries,Revenge
tt1837642,"MBS Media Campus - 1600 Rosecrans Avenue, Manhattan Beach, California, USA",33.8988795,-118.3840303,tvSeries,Revenge
tt1837642,"Los Angeles, California, USA",34.0549076,-118.242643,tvSeries,Revenge
tt1206543,"Braddock, Pennsylvania, USA",40.4034024,-79.8683824,movie,Out of the Furnace
tt1206543,"Beaver Falls, Pennsylvania, USA",40.7520097,-80.31922949999999,movie,Out of the Furnace
tt1206543,"1304 Kirkpatrick Avenue, Braddock, Pennsylvania, USA",40.4000253,-79.856917,movie,Out of the Furnace
