Year,Title,Rated,Director,Released,Writer,Production,Actors,Runtime,Awards,Imdb Votes,Imdb Rating,RottenTomatoScore,Metascore
1989,Batman,PG-13,Tim Burton,6/23/1989,"Bob Kane (Batman characters), Sam Hamm (story), Sam Hamm (screenplay), Warren Skaaren (screenplay)",Warner Bros. Pictures,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl",126 min,Won 1 Oscar. Another 8 wins & 26 nominations.,"323,942",7.5,72%,69
1992,Batman Returns,PG-13,Tim Burton,6/19/1992,"Bob Kane (Batman characters), Daniel Waters (story), Sam Hamm (story), Daniel Waters (screenplay)",Warner Bros. Pictures,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken",126 min,Nominated for 2 Oscars. Another 2 wins & 27 nominations.,"261,654",7.0,79%,68
1993,Batman: Mask of the Phantasm,PG,"Eric Radomski, Bruce Timm, Kevin Altieri, Boyd Kirkland, Frank Paur, Dan Riba",12/25/1993,"Bob Kane (character created by: Batman), Alan Burnett (story), Alan Burnett (screenplay), Paul Dini (screenplay), Martin Pasko (screenplay), Michael Reaves (screenplay)",Warner Bros. Pictures,"Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach",76 min,1 nomination.,"40,226",7.8,84%,
1995,Batman Forever,PG-13,Joel Schumacher,6/16/1995,"Bob Kane (characters), Lee Batchler (story), Janet Scott Batchler (story), Lee Batchler (screenplay), Janet Scott Batchler (screenplay), Akiva Goldsman (screenplay)",Warner Bros. Pictures,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",121 min,Nominated for 3 Oscars. Another 10 wins & 22 nominations.,"226,680",5.4,39%,51
1997,Batman & Robin,PG-13,Joel Schumacher,6/20/1997,"Bob Kane (Batman characters), Akiva Goldsman",Warner Home Video,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",125 min,10 wins & 22 nominations.,"224,614",3.7,11%,28
1998,Batman & Mr. Freeze: SubZero,Unrated,Boyd Kirkland,3/17/1998,"Bob Kane (Batman created by), Randy Rogel, Boyd Kirkland",Warner Bros. Pictures ,"Kevin Conroy, Michael Ansara, Loren Lester, Efrem Zimbalist Jr.",70 min,1 win & 1 nomination.,"12,490",7.2,92%,
2000,Batman Beyond: Return of the Joker,PG-13,Curt Geda,12/12/2000,"Bob Kane (character created by: Batman), Paul Dini (story), Glen Murakami (story), Bruce Timm (story), Paul Dini (screenplay)",Warner Home Video,"Will Friedle, Kevin Conroy, Mark Hamill, Angie Harmon",76 min,3 wins & 5 nominations.,"22,149",7.8,90%,
2005,Batman Begins,PG-13,Christopher Nolan,6/15/2005,"Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)",Warner Bros. Pictures,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",140 min,Nominated for 1 Oscar. Another 14 wins & 72 nominations.,"1,241,089",8.2,84%,70
2008,The Dark Knight,PG-13,Christopher Nolan,7/18/2008,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",Warner Bros. Pictures/Legendary,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",152 min,Won 2 Oscars. Another 153 wins & 159 nominations.,"2,173,344",9.0,94%,84
2010,Batman: Under the Red Hood,PG-13,Brandon Vietti,7/27/2010,"Judd Winick, Bob Kane (Batman created by)",Warner Bros. Pictures ,"Bruce Greenwood, Jensen Ackles, John DiMaggio, Neil Patrick Harris",75 min,1 nomination.,"51,426",8.0,100%,
2011,Batman: Year One,PG-13,"Sam Liu, Lauren Montgomery",10/18/2011,"Bob Kane (Batman created by), Tab Murphy, Frank Miller (graphic novel), David Mazzucchelli (graphic novel), Richmond Lewis (graphic novel)",Warner Bros. Pictures  ,"Bryan Cranston, Ben McKenzie, Eliza Dushku, Jon Polito",64 min,1 win.,"29,054",7.4,88%,
2012,"Batman: The Dark Knight Returns, Part 1",PG-13,Jay Oliva,9/25/2012,"Bob Kane (character created by: Batman), Frank Miller (comic book), Klaus Janson (comic book), Bob Goodman",Warner Bros. Pictures ,"Peter Weller, Ariel Winter, David Selby, Wade Williams",76 min,5 nominations.,"49,610",8.0,100%,
2012,The Dark Knight Rises,PG-13,Christopher Nolan,7/20/2012,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",Warner Bros. Pictures,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",164 min,Nominated for 1 BAFTA Film Award. Another 38 wins & 101 nominations.,"1,439,795",8.4,87%,78
2013,"Batman: The Dark Knight Returns, Part 2",PG-13,Jay Oliva,1/29/2013,"Bob Kane (character created by: Batman), Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), Frank Miller (comic book), Klaus Janson (comic book), Bob Goodman",Warner Bros. Pictures  ,"Peter Weller, Ariel Winter, Michael Emerson, David Selby",76 min,1 win & 1 nomination.,"42,988",8.4,,
